loja_sync,sku,produto,custo,preco,imposto,updated_at
JK Peças,294,,116.48,,24.00,27/05/2026 08:39
JK Peças,399,,372.50,,24.00,27/05/2026 08:39
JK Peças,412-6,,149.46,,24.00,27/05/2026 08:39
JK Peças,412-5,,149.46,,24.00,27/05/2026 08:39
JK Peças,227-2,,21.96,,24.00,27/05/2026 08:39
JK Peças,346,,10.42,,24.00,27/05/2026 08:39
JK Peças,436-4,,3.92,,24.00,27/05/2026 08:39
JK Peças,436-3,,3.92,,24.00,27/05/2026 08:39
JK Peças,436-2,,2.80,,24.00,27/05/2026 08:39
JK Peças,436-1,,2.80,,24.00,27/05/2026 08:39
JK Peças,436,,2.80,,24.00,27/05/2026 08:39
JK Peças,415,,61.50,,24.00,27/05/2026 08:39
JK Peças,412,,149.46,,24.00,27/05/2026 08:39
JK Peças,408,,41.33,,24.00,27/05/2026 08:39
JK Peças,222-2,,37.26,,24.00,27/05/2026 08:39
JK Peças,147,,25.23,,24.00,27/05/2026 08:39
JK Peças,33,,14.61,,24.00,27/05/2026 08:39
JK Peças,18,,225.57,,24.00,27/05/2026 08:39
JK Peças,129-3,,141.18,,24.00,27/05/2026 08:39
JK Peças,66,,108.04,,24.00,27/05/2026 08:39
JK Peças,292,,73.98,,24.00,27/05/2026 08:39
JK Peças,377-4-K,,81.68,,24.00,27/05/2026 08:39
JK Peças,228,,5.30,,24.00,27/05/2026 08:39
JK Peças,254-3,,290.62,,24.00,27/05/2026 08:39
JK Peças,285,,64.51,,24.00,27/05/2026 08:39
JK Peças,222-K,,74.45,,24.00,27/05/2026 08:39
JK Peças,220-K6,,123.84,,24.00,27/05/2026 08:39
JK Peças,306-10-K,,12.46,,24.00,27/05/2026 08:39
JK Peças,272-K8,,53.92,,24.00,27/05/2026 08:39
JK Peças,198-1,,59.52,,24.00,27/05/2026 08:39
JK Peças,376,,88.81,,24.00,27/05/2026 08:39
JK Peças,231-1,,40.28,,24.00,27/05/2026 08:39
JK Peças,351,,199.48,,24.00,27/05/2026 08:39
JK Peças,377-2,,40.38,,24.00,27/05/2026 08:39
JK Peças,203,,211.09,,24.00,27/05/2026 08:39
JK Peças,60-K4,,9.72,,24.00,27/05/2026 08:39
JK Peças,365,,46.20,,24.00,27/05/2026 08:39
JK Peças,152-K6,,157.38,,24.00,27/05/2026 08:39
JK Peças,367-K,,147.70,,20.00,27/05/2026 08:39
JK Peças,379-1,,8.10,,24.00,27/05/2026 08:39
JK Peças,210,,12.76,,24.00,27/05/2026 08:39
JK Peças,137,,83.40,,24.00,27/05/2026 08:39
JK Peças,433-1,,27.67,,24.00,27/05/2026 08:39
JK Peças,219-K4,,59.24,,24.00,27/05/2026 08:39
