arquivo,sku,nome,produto_bling,ncm,categoria_anterior,categoria_nova,regra_pis_cofins
info\000002\cadastro_produtos.csv,DSRAM-36,"Round 1×12 Speed Bicycle Chainring, 30-38T, Direct Mount",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SRAM Tamanho: 36T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,DSRAM-38,"Round 1×12 Speed Bicycle Chainring, 30-38T, Direct Mount",Coroa Unica 30 32 34 36 38 Dentes Narrow Wide DM SRAM Tamanho: 38T,8712.00.90,Manutenção em mountain bike,Bicicletas e acessórios,geral_2_10_10_25
info\000002\cadastro_produtos.csv,326,Air outlet diffuser for the vehicle's rear center console,Difusor Ar Console Central Original,8419.90.90,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,327,Vehicle cylinder head water flange,Flange De Água Cabeçote Alumínio,8418.99.00,Manutenção automotiva,"Máquinas, ferramentas e equipamentos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,33,Hose Vehicle throttle body inlet,Mangueira Agua Aquecedor  1.8  1.6 16v 55574685,4009.31.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,341,Fuel filter for vehicle,Filtro Combustivel 16127233840,8421.29.90,Manutenção automotiva,Filtros e purificação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,342,Universal fuel level display,Marcador Medidor Sensor Nível Combustível Digital Universal,9026.90.10,Manutenção automotiva,Componentes elétricos e iluminação,geral_2_10_10_25
info\000002\cadastro_produtos.csv,343,Vehicle fuel level sensor,Sensor Medidor Nivel Combustivel Tanque,9026.90.10,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,345,Spark Plug Tester,Testador Teste Faísca De Vela Ignição Motor Carro Moto Barco,9030.39.10,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,346,Vehicle oil cooler sealing ring assembly,Anel Vedação Completo Resfriador Trocador Journey 3.6 Ate 13,4016.93.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,347,Vehicle oil cooler sealing ring assembly,Anel Vedação Retentor Resfriador Dodge Journey Jeep,4016.93.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,35,Vehicle power steering oil pressure sensor,Sensor Pressão Direção Hidráulica,9032.89.81,Manutenção automotiva,"Bombas, hidráulica e circulação de líquidos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,350-1,,Tapete De Água Inflável Atividades Almofada Infantil Bebê Sem borda,9506.99.00,Esportes e lazer,Esportes e lazer,geral_2_10_10_25
info\000002\cadastro_produtos.csv,351,,Bóia Sensor Nivel Combustível Tanque Outlander,9026.90.10,"Instrumentos, medi??o e sa?de","Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,354,Vehicle fuel level sensor,Sensor Nivel Combustivel Pajero,9026.90.10,Manutenção automotiva,"Instrumentos, medição e saúde",geral_2_10_10_25
info\000002\cadastro_produtos.csv,357,Spiral drill bit for soil drilling,Super Broca Helicoidal P/ Solo Terra Jardim Espiral Metal,8207.50.11,Broca para solo,"Máquinas, ferramentas e equipamentos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,358,Palm Rejection Stylus Pen for Tablet,Caneta Pencil Stylus 1.0mm,9608.20.00,Acessório para celulares e tablet,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,360,Crankshaft seal on flywheel side,Retentor Virabrequim Lado Volante Honda Civic 92-06,4016.93.00,Manutenção automotiva,"Plásticos, borrachas e adesivos",geral_2_10_10_25
info\000002\cadastro_produtos.csv,364,Cell phone adapter for induction charging,Adaptador Sem Fio Wireless Qi Indução,8504.40.10,Acessório para celulares e tablet,"Eletrônicos, informática e comunicação",geral_2_10_10_25
info\000002\cadastro_produtos.csv,364-1,Cell phone adapter for induction charging,Adaptador Sem Fio Wireless Qi Indução Type: A,8504.40.10,Acessório para celulares e tablet,"Eletrônicos, informática e comunicação",geral_2_10_10_25
